Send Rate,Successful Percentage,Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS)
20.1,99.50248756,0.49,0.09,0.3,20
40.2,99.25373134,0.4,0.09,0.19,39.9
60.2,99.16943522,0.47,0.09,0.19,59.7
80.1,98.6267166,0.43,0.09,0.17,79
100,96,0.52,0.1,0.19,96
119.7,96.49122807,0.43,0.14,0.23,115.5
139.2,90.87643678,0.92,0.09,0.33,126.5
157.2,93.44783715,1.48,0.14,0.32,146.9
181.2,82.61589404,1.81,0.15,0.55,149.7
198.3,76.802824,1.65,0.13,0.73,152.3
217.2,65.65377532,2.05,0.17,0.96,142.6
236.5,65.24312896,2.44,0.13,0.97,154.3
256.3,55.28677331,4.17,0.13,1.44,141.7
