Time ,10 TPS,20 TPS,30 TPS,40 TPS,50 TPS,60 TPS,70 TPS
0,60,60,60,60,61,74,60
20,62,61,60,67,72,78,67
40,62,65,66,69,72,77,75
60,63,65,66,70,71,70,75
80,63,64,68,70,71,70,75
100,62,63,68,70,73,77,75
120,63,65,68,70,73,78,75
140,62,65,67,70,72,75,75
160,62,65,68,70,72,75,74
180,63,64,67,70,74,78,74
200,63,65,67,70,74,78,74
220,62,66,67,69,73,78,74
240,62,66,68,69,73,75,76
260,62,66,68,69,73,75,76
280,63,66,68,70,74,75,76
300,63,65,67,70,74,78,76
320,63,65,68,68,74,78,76
340,63,65,69,68,74,75,73
360,62,65,69,71,75,75,76
380,62,65,68,71,75,73,76
400,62,65,68,71,75,79,73
420,62,65,68,69,74,79,73
440,62,65,68,72,75,75,73
460,62,65,68,72,75,75,76
480,62,60,68,64,61,76,77
