Time,caliper-overlay_ca-org1,caliper-overlay_ca-org2,caliper-overlay_ca-org3,caliper-overlay_ca-org4,caliper-overlay_ca-org5,caliper-overlay_orderer2_digiblocks_com,caliper-overlay_orderer3_digiblocks_com,caliper-overlay_orderer4_digiblocks_com,caliper-overlay_orderer5_digiblocks_com,caliper-overlay_orderer_digiblocks_com,caliper-overlay_peer0_org1_digiblocks_com,caliper-overlay_peer0_org2_digiblocks_com,caliper-overlay_peer0_org3_digiblocks_com,caliper-overlay_peer0_org4_digiblocks_com,caliper-overlay_peer0_org5_digiblocks_com,mon_alertmanager,mon_caddy,mon_cadvisor,mon_dockerd-exporter,mon_grafana,mon_node-exporter,mon_prometheus,mon_unsee
2021-04-19T22:44:00+01:00,0,0,0,0,0,4,141.333,2,214,0,0,2,60.6,3,902.667,3,731.867,3,178.267,4,316.867,3,774.467
2021-04-19T22:44:30+01:00,0,0,0,0,0,4,202.4,2,115.4,0,0,2,62.333,3,874.067,3,874.867,3,957.533,3,882.6,3,754.467
2021-04-19T22:45:00+01:00,0,0,4.667,4.667,0,4,71.6,1,902.867,0,0,2,205.867,3,209.4,3,168.133,3,429.2,4,122.133,3,373.533
2021-04-19T22:45:30+01:00,0,0,0,0,0,4,411.333,2,41.4,0,0,2,27,3,825.6,3,906.2,3,691.667,4,54.467,3,591.4
2021-04-19T22:46:00+01:00,0,0,0,0,0,4,492.667,2,112.6,0,4.667,1,996.133,3,159.2,4,437.2,3,126.8,3,910.667,3,882
2021-04-19T22:46:30+01:00,0,0,0,0,0,4,138.267,2,153.067,0,8.4,3,533.533,3,719.333,3,459.067,3,886.533,4,236.6,3,817.4
2021-04-19T22:47:00+01:00,0,0,0,0,0,4,341.6,2,143.067,0,0,2,60.133,3,70.4,3,458.267,4,3.467,3,891.8,3,345.933
2021-04-19T22:47:30+01:00,0,117.336,0,0,0,4,77.07,2,88.4,3,695.111,0,2,172.4,3,876.8,4,144.533,3,989.2,62,178.667,4
2021-04-19T22:48:00+01:00,0,0,683.647,0,0,458,598.467,346,705.333,6,38.067,5,517.533,748,319.333,561,338,559,499.667,564,514.2,556,776.467
2021-04-19T22:48:30+01:00,0,0,0,0,0,455,764.667,346,169.133,6,368,6,330.2,397,883.333,303,736.133,560,855.467,567,650.933,557,348.067
2021-04-19T22:49:00+01:00,0,0,0,0,0,5,317.6,31,158.533,484,976,744,491.4,561,75.467,5,312.2,17,878.133,3,936.8,454,710.933
2021-04-19T22:49:30+01:00,746.933,727.733,698.133,707.867,0,461,27.933,347,916.067,5,903.2,6,945.933,373,81.067,532,337.467,559,694.067,567,246.867,562,927.067
2021-04-19T22:50:00+01:00,0,0,0,0,731.2,425,742.4,296,81.8,6,113.4,5,584.133,724,895.4,442,727.4,545,784.267,308,99.6,596,224.8
2021-04-19T22:50:30+01:00,0,0,4.667,0,0,395,186.733,316,232.2,5,833.4,6,362.933,749,363.267,565,139.4,422,227,481,47.133,564,393.333
2021-04-19T22:51:00+01:00,0,0,0,0,0,459,38.067,346,978.6,1,165,6,586.2,749,172.933,565,270.267,561,753.933,568,406.067,121,578.667
2021-04-19T22:51:30+01:00,0,741.733,0,0,732.267,459,999.933,346,805.933,6,679.4,57,521.333,117,229.667,145,555.467,560,946.533,568,211.6,563,884.867
2021-04-19T22:52:00+01:00,0,0,0,0,0,107,564,110,457.067,6,898.733,3,845.4,747,622.333,560,24.667,261,771.133,326,161.067,585,966.6
2021-04-19T22:52:30+01:00,0,0,0,7.2,0,459,608.467,347,609.267,7,129.333,7,222.133,749,109.4,572,956.6,573,627.133,569,118.667,297,491.933
2021-04-19T22:53:00+01:00,0,740.4,753.2,726.267,0,460,556.2,348,142.933,7,237,6,809.533,748,726.733,477,323.467,560,330.867,567,806.333,561,993.467
2021-04-19T22:53:30+01:00,0,0,0,0,0,445,272.533,223,816.533,7,453.467,3,585,490,942.267,447,370,389,300,320,77.067,562,417.2
2021-04-19T22:54:00+01:00,0,0,0,0,0,450,313.133,303,20.8,7,193.333,7,571.8,749,753.267,567,179,312,604.067,506,744.867,473,446.533
2021-04-19T22:54:30+01:00,126.467,0,768.933,0,0,11,878.867,8,21.533,8,218.2,3,123.6,5,399.2,7,90.333,11,393.667,11,878.067,563,389.067
2021-04-19T22:55:00+01:00,0,0,0,0,0,458,95.067,347,18.067,7,453.533,7,344.933,748,974.933,570,854.8,561,655.733,568,932.4,197,376.8
2021-04-19T22:55:30+01:00,0,0,0,0,0,458,449.533,347,808.133,2,797.867,7,578.6,747,881.6,566,646.067,560,746.733,563,279.133,560,4.8
2021-04-19T22:56:00+01:00,0,0,0,0,0,459,997.933,347,936.933,7,755,7,842.667,360,669.533,373,77.933,560,287.733,572,540.933,566,361.067
2021-04-19T22:56:30+01:00,0,0,0,0,0,6,438.8,4,218.133,2,24,1,988.4,5,984.2,6,44.867,5,481.4,5,889.733,5,878.4
2021-04-19T22:57:00+01:00,0,0,0,0,0,6,315.067,3,629.6,2,2,2,101.6,4,346.467,5,267.733,5,358.467,6,77.533,6,462.867
2021-04-19T22:57:30+01:00,0,0,0,0,0,5,465.2,4,104.6,1,892,2,18,4,93.6,6,279.267,5,546.867,5,499.267,6,112.8
2021-04-19T22:58:00+01:00,0,0,0,0,0,6,396.8,3,838.4,2,112,1,916.8,4,208.333,5,233.267,5,830.733,5,61.333,5,226.733
2021-04-19T22:58:30+01:00,0,0,0,0,0,5,863.733,4,196.133,1,927.2,1,944.8,4,126.733,5,969.2,5,779.867,5,920.333,6,40.533
2021-04-19T22:59:00+01:00,0,0,0,0,0,6,418.4,4,296,1,883.2,1,940.4,4,319.2,5,937.133,5,506.467,5,628.533,4,939.133
2021-04-19T22:59:30+01:00,0,0,0,0,0,5,806.267,3,897.733,2,32.8,2,4.8,4,179.667,5,805.733,5,424.067,6,334.733,5,696.733
