Time,caliper-overlay_ca-org1,caliper-overlay_ca-org2,caliper-overlay_ca-org3,caliper-overlay_ca-org4,caliper-overlay_ca-org5,caliper-overlay_orderer2_digiblocks_com,caliper-overlay_orderer3_digiblocks_com,caliper-overlay_orderer4_digiblocks_com,caliper-overlay_orderer5_digiblocks_com,caliper-overlay_orderer_digiblocks_com,caliper-overlay_peer0_org1_digiblocks_com,caliper-overlay_peer0_org2_digiblocks_com,caliper-overlay_peer0_org3_digiblocks_com,caliper-overlay_peer0_org4_digiblocks_com,caliper-overlay_peer0_org5_digiblocks_com,mon_alertmanager,mon_caddy,mon_cadvisor,mon_dockerd-exporter,mon_grafana,mon_node-exporter,mon_prometheus,mon_unsee
2021-04-19T22:44:00+01:00,0,0,0,0,0,4,155.267,2,205.667,0,0,2,53.6,3,672.4,3,610.467,3,311.067,4,403.8,3,579
2021-04-19T22:44:30+01:00,0,0,0,0,0,4,216.4,2,108.4,0,0,2,55.333,4,8.933,3,724.2,4,192.067,3,768.267,3,676.667
2021-04-19T22:45:00+01:00,0,0,0,0,0,4,85.6,1,896.8,0,0,2,198.4,3,203.6,2,995.133,3,485,3,931.8,3,658.333
2021-04-19T22:45:30+01:00,0,0,0,0,0,4,426.267,2,34.4,0,0,2,20.467,4,41.667,4,87.533,3,585.267,3,868.867,3,414.067
2021-04-19T22:46:00+01:00,0,0,0,0,0,4,504.133,2,107.333,0,0,1,991.333,3,147.333,4,471.6,3,119.333,3,979.2,3,745.8
2021-04-19T22:46:30+01:00,0,0,0,0,0,4,152.267,2,146.067,0,8.4,15,368.933,3,748.733,3,458.933,3,901.4,4,414.4,3,475.333
2021-04-19T22:47:00+01:00,0,0,0,0,0,4,356.533,2,136.067,0,0,2,53.6,3,96.867,3,245.933,3,883.4,3,976.2,3,312.4
2021-04-19T22:47:30+01:00,0,337.289,0,0,0,4,68.4,2,73.667,5,81.512,0,2,165.4,3,702.733,3,854.067,4,137.267,45,345.826,4
2021-04-19T22:48:00+01:00,0,0,2,62.243,0,0,1,662,178.867,33,158.067,7,908.667,7,570.933,1,49,39.067,389,297.2,337,589.4,360
2021-04-19T22:48:30+01:00,0,0,0,0,0,1,660,821.667,32,660.4,8,238.6,8,249,547,531.4,218,343.067,340,257.733,362,935.067,355
2021-04-19T22:49:00+01:00,0,0,0,0,0,5,160.533,4,840.333,484,802.533,1,40,30.267,390,5,4,954.267,8,409.133,3,894.133,287
2021-04-19T22:49:30+01:00,2,366.067,2,364.733,2,356.867,2,356.667,0,1,661,859.6,34,382.8,7,794.267,8,942.667,519,188.333,366,748.867,338
2021-04-19T22:50:00+01:00,0,0,0,0,2,361.133,1,523,528.733,29,388.533,7,996.867,7,251.4,1,12,597.933,305,498.8,333,899.2,201
2021-04-19T22:50:30+01:00,0,0,0,0,0,1,440,30.533,28,285.933,7,897.267,8,287.333,1,49,663.2,392,695.733,248,100.667,301,679.733
2021-04-19T22:51:00+01:00,0,0,0,0,0,1,661,897.733,33,828.933,971.267,8,510.333,1,39,624.4,392,614.533,340,53.4,365,238.267,75
2021-04-19T22:51:30+01:00,0,2,369.2,0,0,2,361.067,1,660,691.467,34,115.267,8,542.2,13,766.067,177,343.267,121,881.2,340,245.333,364
2021-04-19T22:52:00+01:00,0,0,0,0,0,370,385.4,17,621.667,8,744.067,4,457.867,1,47,358.667,403,162.8,165,548.933,206,531.4,362
2021-04-19T22:52:30+01:00,0,0,0,0,0,1,660,606.267,34,205.2,9,4.267,9,81.733,1,49,874.467,410,973.4,341,384.4,370,719.4
2021-04-19T22:53:00+01:00,0,2,373.533,2,454.333,2,365.467,0,1,661,823.933,34,941.067,9,132.333,8,905.667,1,46,815.6,350,119.133,339
2021-04-19T22:53:30+01:00,0,0,0,0,0,1,591,118.6,26,272.867,9,378.2,4,61.467,688,748.2,338,357.4,239,959.933,211,341.733,360
2021-04-19T22:54:00+01:00,0,0,0,0,0,1,657,687.2,24,198.4,9,265,9,444.133,1,45,914.067,429,288.333,185,253.133,315,214.2
2021-04-19T22:54:30+01:00,397.333,0,2,369.867,0,0,13,625.6,9,167.333,10,220.267,3,27.467,5,292.733,6,694.933,12,509.6,13,293.333,361
2021-04-19T22:55:00+01:00,0,0,0,0,0,1,661,418.533,33,244.333,9,299.333,9,233.067,1,49,100.467,436,169.267,340,173.067,365,710.867
2021-04-19T22:55:30+01:00,0,0,0,0,0,1,662,571.467,34,176.467,2,819.067,9,472.267,1,48,418.133,433,463.4,339,299.067,359,359.267
2021-04-19T22:56:00+01:00,0,0,0,0,0,1,663,525.4,34,508,9,558.333,9,733,501,712.933,257,674.067,339,11.4,366,660.267,363
2021-04-19T22:56:30+01:00,0,0,0,0,0,6,458.733,4,209.533,2,24,1,988.4,20,595.4,5,856.533,5,398.4,5,734.267,5,764.133
2021-04-19T22:57:00+01:00,0,0,0,0,0,6,330.6,3,621.267,2,2,2,101.6,4,336,5,183.667,5,342.667,6,114.467,6,510.933
2021-04-19T22:57:30+01:00,0,0,0,0,0,5,480,4,92.8,1,892,2,18,4,84.133,6,70.2,5,643.667,5,401.6,6,79.8
2021-04-19T22:58:00+01:00,0,0,0,0,0,6,402.667,3,829.933,2,112,1,916.8,4,198.8,5,13.4,5,731.333,5,98.733,5,133.933
2021-04-19T22:58:30+01:00,0,0,0,0,0,5,880.533,4,187.533,1,927.2,1,944.8,4,117.733,5,815.267,5,720,5,970.467,5,916.333
2021-04-19T22:59:00+01:00,0,0,0,0,0,6,433.067,4,286.4,1,883.2,1,940.4,4,309.6,6,89,5,512.133,5,635.467,4,964.4
2021-04-19T22:59:30+01:00,0,0,0,0,0,5,825,3,888.4,2,32.8,2,4.8,4,170.2,5,679.133,5,83.333,6,545.067,5,681.4
