highest_layer,transport_layer,src_ip,dst_ip,src_port,dst_port,ip_flag,packet_length,transport_flag,time,timestamp,geo_country,data,type,code,checksum
ICMP,NONE,fe80::212:7402:2:202,ff02::1a,-1,-1,-1,64,-1,2021-06-14 23:05:15.848000,1623711915848,Unknown,,155,DIS,1
ICMP,NONE,fe80::212:7406:6:606,ff02::1a,-1,-1,-1,64,-1,2021-06-14 23:05:15.874000,1623711915874,Unknown,,155,DIS,1
ICMP,NONE,fe80::212:7414:14:1414,ff02::1a,-1,-1,-1,64,-1,2021-06-14 23:05:15.924000,1623711915924,Unknown,,155,DIS,1
ICMP,NONE,fe80::212:7410:10:1010,ff02::1a,-1,-1,-1,64,-1,2021-06-14 23:05:15.924000,1623711915924,Unknown,,155,DIS,1
ICMP,NONE,fe80::212:7409:9:909,ff02::1a,-1,-1,-1,64,-1,2021-06-14 23:05:15.964000,1623711915964,Unknown,,155,DIS,1
ICMP,NONE,fe80::212:7405:5:505,ff02::1a,-1,-1,-1,64,-1,2021-06-14 23:05:15.965000,1623711915965,Unknown,,155,DIS,1
ICMP,NONE,fe80::212:7411:11:1111,ff02::1a,-1,-1,-1,64,-1,2021-06-14 23:05:16.045000,1623711916045,Unknown,,155,DIS,1
ICMP,NONE,fe80::212:740d:d:d0d,ff02::1a,-1,-1,-1,64,-1,2021-06-14 23:05:16.046000,1623711916046,Unknown,,155,DIS,1
ICMP,NONE,fe80::212:7415:15:1515,ff02::1a,-1,-1,-1,64,-1,2021-06-14 23:05:16.047000,1623711916047,Unknown,,155,DIS,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:05:16.294000,1623711916294,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:05:16.320000,1623711916320,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:05:16.353000,1623711916353,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:05:16.354000,1623711916354,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:05:16.354000,1623711916354,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:05:16.354000,1623711916354,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:05:16.354000,1623711916354,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:05:16.389000,1623711916389,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:05:16.394000,1623711916394,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:05:16.394000,1623711916394,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:05:16.395000,1623711916395,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:05:16.395000,1623711916395,Unknown,,155,DIO,1
