highest_layer,transport_layer,src_ip,dst_ip,src_port,dst_port,ip_flag,packet_length,transport_flag,time,timestamp,geo_country,data,type,code,checksum
ICMP,NONE,fe80::212:7402:2:202,ff02::1a,-1,-1,-1,64,-1,2021-06-14 23:25:52.738000,1623713152738,Unknown,,155,DIS,1
ICMP,NONE,fe80::212:7406:6:606,ff02::1a,-1,-1,-1,64,-1,2021-06-14 23:25:52.759000,1623713152759,Unknown,,155,DIS,1
ICMP,NONE,fe80::212:7414:14:1414,ff02::1a,-1,-1,-1,64,-1,2021-06-14 23:25:52.778000,1623713152778,Unknown,,155,DIS,1
ICMP,NONE,fe80::212:7410:10:1010,ff02::1a,-1,-1,-1,64,-1,2021-06-14 23:25:52.778000,1623713152778,Unknown,,155,DIS,1
ICMP,NONE,fe80::212:7409:9:909,ff02::1a,-1,-1,-1,64,-1,2021-06-14 23:25:52.847000,1623713152847,Unknown,,155,DIS,1
ICMP,NONE,fe80::212:7405:5:505,ff02::1a,-1,-1,-1,64,-1,2021-06-14 23:25:52.848000,1623713152848,Unknown,,155,DIS,1
ICMP,NONE,fe80::212:7411:11:1111,ff02::1a,-1,-1,-1,64,-1,2021-06-14 23:25:52.911000,1623713152911,Unknown,,155,DIS,1
ICMP,NONE,fe80::212:740d:d:d0d,ff02::1a,-1,-1,-1,64,-1,2021-06-14 23:25:52.912000,1623713152912,Unknown,,155,DIS,1
ICMP,NONE,fe80::212:7415:15:1515,ff02::1a,-1,-1,-1,64,-1,2021-06-14 23:25:52.935000,1623713152935,Unknown,,155,DIS,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:25:53.146000,1623713153146,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:25:53.185000,1623713153185,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:25:53.218000,1623713153218,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:25:53.218000,1623713153218,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:25:53.219000,1623713153219,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:25:53.219000,1623713153219,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:25:53.219000,1623713153219,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:25:53.219000,1623713153219,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:25:53.220000,1623713153220,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:25:53.244000,1623713153244,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:25:53.244000,1623713153244,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:25:53.244000,1623713153244,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:25:53.279000,1623713153279,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:25:53.280000,1623713153280,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:25:53.280000,1623713153280,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:25:53.313000,1623713153313,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:25:53.314000,1623713153314,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:25:53.314000,1623713153314,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:25:53.314000,1623713153314,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:25:53.344000,1623713153344,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:25:53.344000,1623713153344,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:25:53.344000,1623713153344,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:25:53.380000,1623713153380,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:25:53.380000,1623713153380,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:25:53.381000,1623713153381,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:25:53.411000,1623713153411,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:25:53.412000,1623713153412,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:25:53.412000,1623713153412,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:25:53.412000,1623713153412,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:25:53.474000,1623713153474,Unknown,,155,DIO,1
