highest_layer,transport_layer,src_ip,dst_ip,src_port,dst_port,ip_flag,packet_length,transport_flag,time,timestamp,geo_country,data,type,code,checksum
ICMP,NONE,fe80::212:7402:2:202,ff02::1a,-1,-1,-1,64,-1,2021-06-14 23:42:41.541000,1623714161541,Unknown,,155,DIS,1
ICMP,NONE,fe80::212:7406:6:606,ff02::1a,-1,-1,-1,64,-1,2021-06-14 23:42:41.570000,1623714161570,Unknown,,155,DIS,1
ICMP,NONE,fe80::212:7414:14:1414,ff02::1a,-1,-1,-1,64,-1,2021-06-14 23:42:41.632000,1623714161632,Unknown,,155,DIS,1
ICMP,NONE,fe80::212:7410:10:1010,ff02::1a,-1,-1,-1,64,-1,2021-06-14 23:42:41.632000,1623714161632,Unknown,,155,DIS,1
ICMP,NONE,fe80::212:7409:9:909,ff02::1a,-1,-1,-1,64,-1,2021-06-14 23:42:41.681000,1623714161681,Unknown,,155,DIS,1
ICMP,NONE,fe80::212:7405:5:505,ff02::1a,-1,-1,-1,64,-1,2021-06-14 23:42:41.681000,1623714161681,Unknown,,155,DIS,1
ICMP,NONE,fe80::212:7411:11:1111,ff02::1a,-1,-1,-1,64,-1,2021-06-14 23:42:41.726000,1623714161726,Unknown,,155,DIS,1
ICMP,NONE,fe80::212:740d:d:d0d,ff02::1a,-1,-1,-1,64,-1,2021-06-14 23:42:41.727000,1623714161727,Unknown,,155,DIS,1
ICMP,NONE,fe80::212:7415:15:1515,ff02::1a,-1,-1,-1,64,-1,2021-06-14 23:42:41.767000,1623714161767,Unknown,,155,DIS,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:42:42.051000,1623714162051,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:42:42.079000,1623714162079,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:42:42.108000,1623714162108,Unknown,,155,DIO,1
